mission,set,true_sfc,predicted_sfc,correct
real_time_pest_detection,A,LowLatencyVideoSFC,LowLatencyVideoSFC,1
live_drone_video_feed,B,LowLatencyVideoSFC,BandwidthOptimizedSFC,0
fpv_obstacle_avoidance_stream,B,LowLatencyVideoSFC,BandwidthOptimizedSFC,0
interactive_crop_inspection_cam,B,LowLatencyVideoSFC,BandwidthOptimizedSFC,0
routine_field_patrol,C,LowLatencyVideoSFC,BandwidthOptimizedSFC,0
perimeter_survey_run,C,LowLatencyVideoSFC,BandwidthOptimizedSFC,0
standard_observation_sortie,C,LowLatencyVideoSFC,BandwidthOptimizedSFC,0
emergency_alert_relay,A,ReliableRelaySFC,ReliableRelaySFC,1
disaster_response_backhaul,B,ReliableRelaySFC,BandwidthOptimizedSFC,0
degraded_link_message_forwarding,B,ReliableRelaySFC,BandwidthOptimizedSFC,0
high_loss_telemetry_relay,B,ReliableRelaySFC,BandwidthOptimizedSFC,0
field_patrol_circuit,C,ReliableRelaySFC,BandwidthOptimizedSFC,0
perimeter_sensor_sweep,C,ReliableRelaySFC,BandwidthOptimizedSFC,0
scheduled_crop_survey,C,ReliableRelaySFC,BandwidthOptimizedSFC,0
long_term_soil_monitoring,A,EnergyAwareSFC,EnergyAwareSFC,1
battery_saver_periodic_sampling,B,EnergyAwareSFC,BandwidthOptimizedSFC,0
low_power_crop_health_logging,B,EnergyAwareSFC,BandwidthOptimizedSFC,0
extended_endurance_environment_survey,B,EnergyAwareSFC,BandwidthOptimizedSFC,0
daily_field_patrol,C,EnergyAwareSFC,BandwidthOptimizedSFC,0
scheduled_perimeter_check,C,EnergyAwareSFC,BandwidthOptimizedSFC,0
background_data_collection,C,EnergyAwareSFC,BandwidthOptimizedSFC,0
bulk_data_transfer,A,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
orthomosaic_map_upload,B,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
multispectral_imagery_offload,B,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
nightly_log_sync,B,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
field_patrol_rounds,C,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
scheduled_data_dump,C,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
end_of_shift_transfer,C,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1
