mission,perturbation,kind,clean_sfc,perturbed_sfc,perturbed_path,stable,valid,parse_status
emergency_alert_relay,misleading_advisory,evidence,ReliableRelaySFC,ReliableRelaySFC,backup,1,1,parsed_json
emergency_alert_relay,stale_kg,evidence,ReliableRelaySFC,ReliableRelaySFC,backup,1,1,parsed_json
emergency_alert_relay,conflicting_telemetry,near-circular,ReliableRelaySFC,ReliableRelaySFC,backup,1,1,parsed_json
emergency_alert_relay,noisy_topology,evidence,ReliableRelaySFC,ReliableRelaySFC,backup,1,1,parsed_json
emergency_alert_relay,format_shift,guarantee,ReliableRelaySFC,ReliableRelaySFC,backup,1,1,parsed_json
bulk_data_transfer,misleading_advisory,evidence,BandwidthOptimizedSFC,BandwidthOptimizedSFC,primary,1,1,parsed_json
bulk_data_transfer,stale_kg,evidence,BandwidthOptimizedSFC,BandwidthOptimizedSFC,primary,1,1,parsed_json
bulk_data_transfer,conflicting_telemetry,near-circular,BandwidthOptimizedSFC,BandwidthOptimizedSFC,primary,1,1,parsed_json
bulk_data_transfer,noisy_topology,evidence,BandwidthOptimizedSFC,BandwidthOptimizedSFC,primary,1,1,parsed_json
bulk_data_transfer,format_shift,guarantee,BandwidthOptimizedSFC,BandwidthOptimizedSFC,primary,1,1,parsed_json
real_time_pest_detection,misleading_advisory,evidence,LowLatencyVideoSFC,LowLatencyVideoSFC,primary,1,1,parsed_json
real_time_pest_detection,stale_kg,evidence,LowLatencyVideoSFC,LowLatencyVideoSFC,primary,1,1,parsed_json
real_time_pest_detection,conflicting_telemetry,near-circular,LowLatencyVideoSFC,LowLatencyVideoSFC,primary,1,1,parsed_json
real_time_pest_detection,noisy_topology,evidence,LowLatencyVideoSFC,LowLatencyVideoSFC,primary,1,1,parsed_json
real_time_pest_detection,format_shift,guarantee,LowLatencyVideoSFC,LowLatencyVideoSFC,primary,1,1,parsed_json
long_term_soil_monitoring,misleading_advisory,evidence,EnergyAwareSFC,EnergyAwareSFC,backup,1,1,parsed_json
long_term_soil_monitoring,stale_kg,evidence,EnergyAwareSFC,EnergyAwareSFC,primary,1,1,parsed_json
long_term_soil_monitoring,conflicting_telemetry,near-circular,EnergyAwareSFC,EnergyAwareSFC,primary,1,1,parsed_json
long_term_soil_monitoring,noisy_topology,evidence,EnergyAwareSFC,EnergyAwareSFC,primary,1,1,parsed_json
long_term_soil_monitoring,format_shift,guarantee,EnergyAwareSFC,EnergyAwareSFC,primary,1,1,parsed_json
