sweep,varied_field,value,mission,planner_sfc,oracle_sfc,agree,valid,parse_status
mission_name,mission,emergency_alert_relay,emergency_alert_relay,ReliableRelaySFC,ReliableRelaySFC,1,1,parsed_json
mission_name,mission,bulk_data_transfer,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
mission_name,mission,real_time_pest_detection,real_time_pest_detection,LowLatencyVideoSFC,LowLatencyVideoSFC,1,1,parsed_json
mission_name,mission,long_term_soil_monitoring,long_term_soil_monitoring,EnergyAwareSFC,EnergyAwareSFC,1,1,parsed_json
delay_ms,delay,3,bulk_data_transfer,BandwidthOptimizedSFC,LowLatencyVideoSFC,0,1,parsed_json
delay_ms,delay,6,bulk_data_transfer,BandwidthOptimizedSFC,LowLatencyVideoSFC,0,1,parsed_json
delay_ms,delay,20,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
delay_ms,delay,50,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
delay_ms,delay,100,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
loss_percent,loss,0,bulk_data_transfer,BandwidthOptimizedSFC,ReliableRelaySFC,0,1,parsed_json
loss_percent,loss,1,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
loss_percent,loss,3,bulk_data_transfer,BandwidthOptimizedSFC,ReliableRelaySFC,0,1,parsed_json
loss_percent,loss,5,bulk_data_transfer,BandwidthOptimizedSFC,ReliableRelaySFC,0,1,parsed_json
loss_percent,loss,10,bulk_data_transfer,BandwidthOptimizedSFC,ReliableRelaySFC,0,1,parsed_json
battery_percent,batt,90,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
battery_percent,batt,50,bulk_data_transfer,BandwidthOptimizedSFC,BandwidthOptimizedSFC,1,1,parsed_json
battery_percent,batt,35,bulk_data_transfer,BandwidthOptimizedSFC,EnergyAwareSFC,0,1,parsed_json
battery_percent,batt,20,bulk_data_transfer,BandwidthOptimizedSFC,EnergyAwareSFC,0,1,parsed_json
battery_percent,batt,10,bulk_data_transfer,BandwidthOptimizedSFC,EnergyAwareSFC,0,1,parsed_json
