scenario,arm,repeat,sfc,fault,outcome,tier_reached,reason,final_path,target_sla_met,headroom,wall_seconds,switch_s1,switch_s2,switch_s3,f1_rtt_ms,f1_throughput_mbps,f1_loss_pct,f1_met,f1_margin,f2_rtt_ms,f2_throughput_mbps,f2_loss_pct,f2_met,f2_margin
healthy,static,0,LowLatencyVideoSFC,none,met,,,primary,True,0.5702,15.41,Active,Active,Standby,30.086,16.18,0.0,True,0.5702,35.05,21.575,0.0,True,0.7079
healthy,static,1,LowLatencyVideoSFC,none,met,,,primary,True,0.5701,15.45,Active,Active,Standby,30.095,16.181,0.0,True,0.5701,35.047,21.574,0.0,True,0.7079
healthy,static,2,LowLatencyVideoSFC,none,met,,,primary,True,0.5708,15.48,Active,Active,Standby,30.044,16.178,0.0,True,0.5708,34.975,21.573,0.0,True,0.7085
healthy,rule,0,LowLatencyVideoSFC,none,met,,,primary,True,0.5695,15.34,Active,Active,Standby,30.137,16.174,0.0,True,0.5695,35.133,21.578,0.0,True,0.7072
healthy,rule,1,LowLatencyVideoSFC,none,met,,,primary,True,0.5702,15.42,Active,Active,Standby,30.087,16.178,0.0,True,0.5702,35.046,21.575,0.0,True,0.708
healthy,rule,2,LowLatencyVideoSFC,none,met,,,primary,True,0.5701,15.44,Active,Active,Standby,30.092,16.182,0.0,True,0.5701,34.974,21.575,0.0,True,0.7086
healthy,proposed,0,LowLatencyVideoSFC,none,healthy,0,,primary,True,0.5708,24.82,Active,Active,Standby,30.041,16.18,0.0,True,0.5708,35.05,21.564,0.0,True,0.7079
healthy,proposed,1,LowLatencyVideoSFC,none,healthy,0,,primary,True,0.5703,24.89,Active,Active,Standby,30.078,16.178,0.0,True,0.5703,35.099,21.571,0.0,True,0.7075
healthy,proposed,2,LowLatencyVideoSFC,none,healthy,0,,primary,True,0.5694,24.67,Active,Active,Standby,30.142,16.184,0.0,True,0.5694,35.184,21.571,0.0,True,0.7068
primary_fault,static,0,LowLatencyVideoSFC,primary_relay,violated,,,primary,False,0.0,15.89,Degraded,Degraded,Standby,120.171,16.179,0.0,False,-0.7167,125.12,21.574,0.0,False,-0.0427
primary_fault,static,1,LowLatencyVideoSFC,primary_relay,violated,,,primary,False,0.0,15.93,Degraded,Degraded,Standby,120.099,16.181,0.0,False,-0.7157,125.107,21.573,0.0,False,-0.0426
primary_fault,static,2,LowLatencyVideoSFC,primary_relay,violated,,,primary,False,0.0,15.84,Degraded,Degraded,Standby,120.217,16.179,0.0,False,-0.7174,125.22,21.572,0.0,False,-0.0435
primary_fault,rule,0,ReliableRelaySFC,primary_relay,met,,,backup,True,0.3244,15.55,Active,Standby,Active,47.29,16.179,0.0,True,0.3244,47.117,21.569,0.0,True,0.6074
primary_fault,rule,1,ReliableRelaySFC,primary_relay,met,,,backup,True,0.3226,15.52,Active,Standby,Active,47.416,16.184,0.0,True,0.3226,47.413,21.567,0.0,True,0.6049
