scenario,arm,repeat,sfc,fault,field,is_target,rtt_ms,throughput_mbps,loss_pct,met,margin,outcome,tier_reached,final_path,target_sla_met,wall_seconds
healthy,static,0,LowLatencyVideoSFC,none,F1,True,30.086,16.18,0.0,True,0.5702,met,,primary,True,15.41
healthy,static,0,LowLatencyVideoSFC,none,F2,False,35.05,21.575,0.0,True,0.7079,met,,primary,True,15.41
healthy,static,1,LowLatencyVideoSFC,none,F1,True,30.095,16.181,0.0,True,0.5701,met,,primary,True,15.45
healthy,static,1,LowLatencyVideoSFC,none,F2,False,35.047,21.574,0.0,True,0.7079,met,,primary,True,15.45
healthy,static,2,LowLatencyVideoSFC,none,F1,True,30.044,16.178,0.0,True,0.5708,met,,primary,True,15.48
healthy,static,2,LowLatencyVideoSFC,none,F2,False,34.975,21.573,0.0,True,0.7085,met,,primary,True,15.48
healthy,rule,0,LowLatencyVideoSFC,none,F1,True,30.137,16.174,0.0,True,0.5695,met,,primary,True,15.34
healthy,rule,0,LowLatencyVideoSFC,none,F2,False,35.133,21.578,0.0,True,0.7072,met,,primary,True,15.34
healthy,rule,1,LowLatencyVideoSFC,none,F1,True,30.087,16.178,0.0,True,0.5702,met,,primary,True,15.42
healthy,rule,1,LowLatencyVideoSFC,none,F2,False,35.046,21.575,0.0,True,0.708,met,,primary,True,15.42
healthy,rule,2,LowLatencyVideoSFC,none,F1,True,30.092,16.182,0.0,True,0.5701,met,,primary,True,15.44
healthy,rule,2,LowLatencyVideoSFC,none,F2,False,34.974,21.575,0.0,True,0.7086,met,,primary,True,15.44
healthy,proposed,0,LowLatencyVideoSFC,none,F1,True,30.041,16.18,0.0,True,0.5708,healthy,0,primary,True,24.82
healthy,proposed,0,LowLatencyVideoSFC,none,F2,False,35.05,21.564,0.0,True,0.7079,healthy,0,primary,True,24.82
healthy,proposed,1,LowLatencyVideoSFC,none,F1,True,30.078,16.178,0.0,True,0.5703,healthy,0,primary,True,24.89
healthy,proposed,1,LowLatencyVideoSFC,none,F2,False,35.099,21.571,0.0,True,0.7075,healthy,0,primary,True,24.89
healthy,proposed,2,LowLatencyVideoSFC,none,F1,True,30.142,16.184,0.0,True,0.5694,healthy,0,primary,True,24.67
healthy,proposed,2,LowLatencyVideoSFC,none,F2,False,35.184,21.571,0.0,True,0.7068,healthy,0,primary,True,24.67
primary_fault,static,0,LowLatencyVideoSFC,primary_relay,F1,True,120.171,16.179,0.0,False,-0.7167,violated,,primary,False,15.89
primary_fault,static,0,LowLatencyVideoSFC,primary_relay,F2,False,125.12,21.574,0.0,False,-0.0427,violated,,primary,False,15.89
primary_fault,static,1,LowLatencyVideoSFC,primary_relay,F1,True,120.099,16.181,0.0,False,-0.7157,violated,,primary,False,15.93
primary_fault,static,1,LowLatencyVideoSFC,primary_relay,F2,False,125.107,21.573,0.0,False,-0.0426,violated,,primary,False,15.93
primary_fault,static,2,LowLatencyVideoSFC,primary_relay,F1,True,120.217,16.179,0.0,False,-0.7174,violated,,primary,False,15.84
primary_fault,static,2,LowLatencyVideoSFC,primary_relay,F2,False,125.22,21.572,0.0,False,-0.0435,violated,,primary,False,15.84
primary_fault,rule,0,ReliableRelaySFC,primary_relay,F1,True,47.29,16.179,0.0,True,0.3244,met,,backup,True,15.55
primary_fault,rule,0,ReliableRelaySFC,primary_relay,F2,False,47.117,21.569,0.0,True,0.6074,met,,backup,True,15.55
primary_fault,rule,1,ReliableRelaySFC,primary_relay,F1,True,47.416,16.184,0.0,True,0.3226,met,,backup,True,15.52
primary_fault,rule,1,ReliableRelaySFC,primary_relay,F2,False,47.413,21.567,0.0,True,0.6049,met,,backup,True,15.52
primary_fault,rule,2,ReliableRelaySFC,primary_relay,F1,True,47.058,16.18,0.0,True,0.3277,met,,backup,True,15.42
primary_fault,rule,2,ReliableRelaySFC,primary_relay,F2,False,47.046,21.573,0.0,True,0.608,met,,backup,True,15.42
primary_fault,proposed,0,ReliableRelaySFC,primary_relay,F1,True,47.127,16.179,0.0,True,0.3268,healthy,0,backup,True,25.12
primary_fault,proposed,0,ReliableRelaySFC,primary_relay,F2,False,47.253,21.577,0.0,True,0.6062,healthy,0,backup,True,25.12
primary_fault,proposed,1,ReliableRelaySFC,primary_relay,F1,True,47.162,16.178,0.0,True,0.3263,healthy,0,backup,True,24.99
primary_fault,proposed,1,ReliableRelaySFC,primary_relay,F2,False,47.142,21.575,0.0,True,0.6072,healthy,0,backup,True,24.99
primary_fault,proposed,2,ReliableRelaySFC,primary_relay,F1,True,47.103,16.175,0.0,True,0.3271,healthy,0,backup,True,24.91
primary_fault,proposed,2,ReliableRelaySFC,primary_relay,F2,False,47.101,21.572,0.0,True,0.6075,healthy,0,backup,True,24.91
backup_fault,static,0,LowLatencyVideoSFC,backup_relay,F1,True,30.122,16.181,0.0,True,0.5697,met,,primary,True,15.51
backup_fault,static,0,LowLatencyVideoSFC,backup_relay,F2,False,35.068,21.574,0.0,True,0.7078,met,,primary,True,15.51
backup_fault,static,1,LowLatencyVideoSFC,backup_relay,F1,True,30.118,16.175,0.0,True,0.5697,met,,primary,True,15.42
backup_fault,static,1,LowLatencyVideoSFC,backup_relay,F2,False,35.055,21.572,0.0,True,0.7079,met,,primary,True,15.42
backup_fault,static,2,LowLatencyVideoSFC,backup_relay,F1,True,30.066,16.183,0.0,True,0.5705,met,,primary,True,15.55
backup_fault,static,2,LowLatencyVideoSFC,backup_relay,F2,False,34.965,21.569,0.0,True,0.7086,met,,primary,True,15.55
backup_fault,rule,0,ReliableRelaySFC,backup_relay,F1,True,132.124,16.184,0.0,False,-0.8875,violated,,backup,False,15.85
backup_fault,rule,0,ReliableRelaySFC,backup_relay,F2,False,132.224,21.572,0.0,False,-0.1019,violated,,backup,False,15.85
backup_fault,rule,1,ReliableRelaySFC,backup_relay,F1,True,132.003,16.174,0.0,False,-0.8858,violated,,backup,False,15.85
backup_fault,rule,1,ReliableRelaySFC,backup_relay,F2,False,131.989,21.57,0.0,False,-0.0999,violated,,backup,False,15.85
backup_fault,rule,2,ReliableRelaySFC,backup_relay,F1,True,132.136,16.183,0.0,False,-0.8877,violated,,backup,False,15.9
backup_fault,rule,2,ReliableRelaySFC,backup_relay,F2,False,132.117,21.575,0.0,False,-0.101,violated,,backup,False,15.9
backup_fault,proposed,0,ReliableRelaySFC,backup_relay,F1,True,34.988,16.173,0.0,True,0.5002,healthy,1,primary,True,31.3
backup_fault,proposed,0,ReliableRelaySFC,backup_relay,F2,False,34.959,21.57,0.0,True,0.7087,healthy,1,primary,True,31.3
backup_fault,proposed,1,ReliableRelaySFC,backup_relay,F1,True,35.07,16.175,0.0,True,0.499,healthy,1,primary,True,31.38
backup_fault,proposed,1,ReliableRelaySFC,backup_relay,F2,False,35.025,21.572,0.0,True,0.7081,healthy,1,primary,True,31.38
backup_fault,proposed,2,ReliableRelaySFC,backup_relay,F1,True,35.06,16.178,0.0,True,0.4991,healthy,1,primary,True,31.44
backup_fault,proposed,2,ReliableRelaySFC,backup_relay,F2,False,35.023,21.572,0.0,True,0.7081,healthy,1,primary,True,31.44
ddil,static,0,LowLatencyVideoSFC,both_relays,F1,True,120.008,16.18,0.0,False,-0.7144,violated,,primary,False,16.0
ddil,static,0,LowLatencyVideoSFC,both_relays,F2,False,125.106,21.576,0.0,False,-0.0425,violated,,primary,False,16.0
ddil,static,1,LowLatencyVideoSFC,both_relays,F1,True,120.13,16.18,0.0,False,-0.7161,violated,,primary,False,15.87
ddil,static,1,LowLatencyVideoSFC,both_relays,F2,False,125.021,21.575,0.0,False,-0.0418,violated,,primary,False,15.87
ddil,static,2,LowLatencyVideoSFC,both_relays,F1,True,120.184,16.181,0.0,False,-0.7169,violated,,primary,False,15.91
ddil,static,2,LowLatencyVideoSFC,both_relays,F2,False,124.971,21.574,0.0,False,-0.0414,violated,,primary,False,15.91
ddil,rule,0,ReliableRelaySFC,both_relays,F1,True,132.177,16.18,0.0,False,-0.8882,violated,,backup,False,15.97
ddil,rule,0,ReliableRelaySFC,both_relays,F2,False,132.239,21.573,0.0,False,-0.102,violated,,backup,False,15.97
ddil,rule,1,ReliableRelaySFC,both_relays,F1,True,132.234,16.18,0.0,False,-0.8891,violated,,backup,False,15.89
ddil,rule,1,ReliableRelaySFC,both_relays,F2,False,132.194,21.568,0.0,False,-0.1016,violated,,backup,False,15.89
ddil,rule,2,ReliableRelaySFC,both_relays,F1,True,132.197,16.178,0.0,False,-0.8885,violated,,backup,False,15.97
ddil,rule,2,ReliableRelaySFC,both_relays,F2,False,132.29,21.57,0.0,False,-0.1024,violated,,backup,False,15.97
ddil,proposed,0,ReliableRelaySFC,both_relays,F1,True,132.461,16.177,0.0,False,-0.8923,escalated,2,backup,False,29.07
