scenario,arm,sfc,outcome,tier_reached,final_path,n_repeats,f1_rtt_ms_mean,f1_rtt_ms_sd,f1_loss_pct_mean,f1_loss_pct_sd,f1_throughput_mbps_mean,f1_throughput_mbps_sd,sla_met_count,sla_met_n,wall_seconds_mean
healthy,static,LowLatencyVideoSFC,met,None,primary,3,30.075,0.022,0.0,0.0,16.1797,0.0012,3,3,15.45
healthy,rule,LowLatencyVideoSFC,met,None,primary,3,30.105,0.022,0.0,0.0,16.178,0.0033,3,3,15.4
healthy,proposed,LowLatencyVideoSFC,healthy,0,primary,3,30.087,0.042,0.0,0.0,16.1807,0.0025,3,3,24.79
primary_fault,static,LowLatencyVideoSFC,violated,None,primary,3,120.162,0.049,0.0,0.0,16.1797,0.0009,0,3,15.89
primary_fault,rule,ReliableRelaySFC,met,None,backup,3,47.255,0.148,0.0,0.0,16.181,0.0022,3,3,15.5
primary_fault,proposed,ReliableRelaySFC,healthy,0,backup,3,47.131,0.024,0.0,0.0,16.1773,0.0017,3,3,25.01
backup_fault,static,LowLatencyVideoSFC,met,None,primary,3,30.102,0.026,0.0,0.0,16.1797,0.0034,3,3,15.49
backup_fault,rule,ReliableRelaySFC,violated,None,backup,3,132.088,0.06,0.0,0.0,16.1803,0.0045,0,3,15.87
backup_fault,proposed,ReliableRelaySFC,healthy,1,primary,3,35.039,0.037,0.0,0.0,16.1753,0.0021,3,3,31.37
ddil,static,LowLatencyVideoSFC,violated,None,primary,3,120.107,0.074,0.0,0.0,16.1803,0.0005,0,3,15.93
ddil,rule,ReliableRelaySFC,violated,None,backup,3,132.203,0.024,0.0,0.0,16.1793,0.0009,0,3,15.94
ddil,proposed,ReliableRelaySFC,escalated,2,backup,3,132.302,0.114,0.0,0.0,16.178,0.0022,0,3,28.92
