source_file,method,scenario,selected_sfc,selected_path,selected_relay,kg_used,path_reasoning_used,policy_type,edge_interface_mode,configured_bandwidth_mbps,configured_delay,configured_loss_percent,rtt_avg_ms,throughput_mbps,udp_jitter_ms,udp_loss_percent,measured_packet_loss_percent,sfc_selection_seconds,kg_update_seconds,path_aware_sfc_selection_seconds,rule_install_seconds,deployment_seconds,result_push_seconds,total_pipeline_seconds,total_seconds,result_file
baseline_rule_based_baseline.txt,Rule-Based No-KG,baseline,BandwidthOptimizedSFC,,,No,No,,,40.0,15ms,1.0,34.395,,,,3.6363636363636362,3e-06,,,0.062644,,,,190.03077,
baseline_rule_based_battery_depletion.txt,Rule-Based No-KG,battery_depletion,EnergyAwareSFC,,,No,No,,,15.0,30ms,2.0,64.445,,,,97.27272727272727,3e-06,,,0.064406,,,,1215.952257,
baseline_rule_based_congestion.txt,Rule-Based No-KG,congestion,ReliableRelaySFC,,,No,No,,,20.0,25ms,2.0,54.404,,,,11.818181818181818,3e-06,,,0.062441,,,,284.057037,
baseline_rule_based_ddil.txt,Rule-Based No-KG,ddil,ReliableRelaySFC,,,No,No,,,5.0,80ms,5.0,164.424,,,,17.272727272727273,4e-06,,,0.061523,,,,363.019545,
baseline_rule_based_low_latency.txt,Rule-Based No-KG,low_latency,LowLatencyVideoSFC,,,No,No,,,80.0,5ms,0.0,14.421,,,,0.0,3e-06,,,0.062544,,,,145.921782,
baseline_rule_based_relay_failure.txt,Rule-Based No-KG,relay_failure,ReliableRelaySFC,,,No,No,,,30.0,35ms,4.0,74.404,,,,19.09090909090909,3e-06,,,0.062218,,,,367.11205,
baseline_static_baseline.txt,Static SFC + Static P4,baseline,LowLatencyVideoSFC,,,No,No,,,40.0,15ms,1.0,34.403,,,,5.454545454545454,,,,0.062395,,,,211.493731,
baseline_static_battery_depletion.txt,Static SFC + Static P4,battery_depletion,LowLatencyVideoSFC,,,No,No,,,15.0,30ms,2.0,64.424,,,,6.363636363636363,,,,0.061827,,,,225.103317,
baseline_static_congestion.txt,Static SFC + Static P4,congestion,LowLatencyVideoSFC,,,No,No,,,20.0,25ms,2.0,54.412,,,,4.545454545454546,,,,0.062397,,,,204.386082,
baseline_static_ddil.txt,Static SFC + Static P4,ddil,LowLatencyVideoSFC,,,No,No,,,5.0,80ms,5.0,164.434,,,,16.363636363636363,,,,0.062089,,,,352.991205,
baseline_static_low_latency.txt,Static SFC + Static P4,low_latency,LowLatencyVideoSFC,,,No,No,,,80.0,5ms,0.0,14.403,,,,0.0,,,,0.06336,,,,146.278475,
baseline_static_relay_failure.txt,Static SFC + Static P4,relay_failure,LowLatencyVideoSFC,,,No,No,,,30.0,35ms,4.0,74.452,,,,9.090909090909092,,,,0.062948,,,,258.8409,
proposed_netprompt_baseline.txt,Proposed KG-Driven NetPrompt,baseline,LowLatencyVideoSFC,PrimaryPath,s2,Yes,Yes,primary_path_low_latency,,40.0,15ms,1.0,39.828,56.0,,,0.0,1.001447,0.509896,1.001447,,104.402428,0.536801,106.51922,,/home/cc/netprompt-milestone-II/results/multihop_baseline_LowLatencyVideoSFC.txt
proposed_netprompt_battery_depletion.txt,Proposed KG-Driven NetPrompt,battery_depletion,EnergyAwareSFC,PrimaryPath,s2,Yes,Yes,energy_policy_table_essential_only,,15.0,30ms,2.0,34.429333,4.78,,,10.0,0.998886,0.504729,0.998886,,1108.647491,0.539284,1110.757728,,/home/cc/netprompt-milestone-II/results/dynamic_p4_battery_depletion_EnergyAwareSFC.txt
proposed_netprompt_congestion.txt,Proposed KG-Driven NetPrompt,congestion,ReliableRelaySFC,BackupPath,s3,Yes,Yes,backup_path_reliable_relay,backup_edge_eth1,20.0,25ms,2.0,69.8388,2.33,0.049333,0.396667,0.0,1.000569,0.508167,1.000569,,140.493425,0.547601,142.618161,,/home/cc/netprompt-milestone-II/results/multihop_congestion_ReliableRelaySFC.txt
proposed_netprompt_ddil.txt,Proposed KG-Driven NetPrompt,ddil,ReliableRelaySFC,BackupPath,s3,Yes,Yes,backup_path_reliable_relay,backup_edge_eth1,5.0,80ms,5.0,124.85,2.34,0.009333,0.366667,0.0,1.002902,0.51346,1.002902,,181.875032,0.545016,184.003767,,/home/cc/netprompt-milestone-II/results/multihop_ddil_ReliableRelaySFC.txt
proposed_netprompt_low_latency.txt,Proposed KG-Driven NetPrompt,low_latency,LowLatencyVideoSFC,PrimaryPath,s2,Yes,Yes,primary_path_low_latency,,80.0,5ms,0.0,29.7992,56.5,,,0.0,0.999416,0.506312,0.999416,,82.13377,0.542094,84.248463,,/home/cc/netprompt-milestone-II/results/multihop_low_latency_LowLatencyVideoSFC.txt
proposed_netprompt_relay_failure.txt,Proposed KG-Driven NetPrompt,relay_failure,ReliableRelaySFC,BackupPath,s3,Yes,Yes,backup_path_reliable_relay,backup_edge_eth1,30.0,35ms,4.0,65.8804,2.34,0.008333,0.26,0.0,0.999208,0.50803,0.999208,,231.660134,0.541054,233.77899,,/home/cc/netprompt-milestone-II/results/multihop_relay_failure_ReliableRelaySFC.txt
