source_file,method,scenario,selected_sfc,selected_path,selected_relay,kg_used,path_reasoning_used,policy_type,configured_bandwidth_mbps,configured_delay,configured_loss_percent,rtt_avg_ms,throughput_mbps,measured_packet_loss_percent,sfc_selection_seconds,kg_update_seconds,path_aware_sfc_selection_seconds,rule_install_seconds,deployment_seconds,result_push_seconds,total_pipeline_seconds,total_seconds,result_file
baseline_rule_based_baseline.txt,Rule-Based No-KG,baseline,BandwidthOptimizedSFC,,,No,No,,40.0,15ms,1.0,34.395,,3.6363636363636362,3e-06,,,0.062644,,,,190.03077,
baseline_rule_based_battery_depletion.txt,Rule-Based No-KG,battery_depletion,EnergyAwareSFC,,,No,No,,15.0,30ms,2.0,64.445,,97.27272727272727,3e-06,,,0.064406,,,,1215.952257,
baseline_rule_based_congestion.txt,Rule-Based No-KG,congestion,ReliableRelaySFC,,,No,No,,20.0,25ms,2.0,54.404,,11.818181818181818,3e-06,,,0.062441,,,,284.057037,
baseline_rule_based_ddil.txt,Rule-Based No-KG,ddil,ReliableRelaySFC,,,No,No,,5.0,80ms,5.0,164.424,,17.272727272727273,4e-06,,,0.061523,,,,363.019545,
baseline_rule_based_low_latency.txt,Rule-Based No-KG,low_latency,LowLatencyVideoSFC,,,No,No,,80.0,5ms,0.0,14.421,,0.0,3e-06,,,0.062544,,,,145.921782,
baseline_rule_based_relay_failure.txt,Rule-Based No-KG,relay_failure,ReliableRelaySFC,,,No,No,,30.0,35ms,4.0,74.404,,19.09090909090909,3e-06,,,0.062218,,,,367.11205,
baseline_static_baseline.txt,Static SFC + Static P4,baseline,LowLatencyVideoSFC,,,No,No,,40.0,15ms,1.0,34.403,,5.454545454545454,,,,0.062395,,,,211.493731,
baseline_static_battery_depletion.txt,Static SFC + Static P4,battery_depletion,LowLatencyVideoSFC,,,No,No,,15.0,30ms,2.0,64.424,,6.363636363636363,,,,0.061827,,,,225.103317,
baseline_static_congestion.txt,Static SFC + Static P4,congestion,LowLatencyVideoSFC,,,No,No,,20.0,25ms,2.0,54.412,,4.545454545454546,,,,0.062397,,,,204.386082,
baseline_static_ddil.txt,Static SFC + Static P4,ddil,LowLatencyVideoSFC,,,No,No,,5.0,80ms,5.0,164.434,,16.363636363636363,,,,0.062089,,,,352.991205,
baseline_static_low_latency.txt,Static SFC + Static P4,low_latency,LowLatencyVideoSFC,,,No,No,,80.0,5ms,0.0,14.403,,0.0,,,,0.06336,,,,146.278475,
baseline_static_relay_failure.txt,Static SFC + Static P4,relay_failure,LowLatencyVideoSFC,,,No,No,,30.0,35ms,4.0,74.452,,9.090909090909092,,,,0.062948,,,,258.8409,
proposed_netprompt_baseline.txt,Proposed KG-Driven NetPrompt,baseline,LowLatencyVideoSFC,PrimaryPath,s2,Yes,Yes,,,,,,,,0.991094,0.503,0.991094,,440.999857,0.533517,443.093423,,
proposed_netprompt_battery_depletion.txt,Proposed KG-Driven NetPrompt,battery_depletion,EnergyAwareSFC,PrimaryPath,s2,Yes,Yes,,,,,,,,0.997285,0.508294,0.997285,,1500.709021,0.535541,1502.817658,,
proposed_netprompt_congestion.txt,Proposed KG-Driven NetPrompt,congestion,ReliableRelaySFC,BackupPath,s3,Yes,Yes,backup_path_reliable_relay,20.0,25ms,2.0,,,100.0,0.993534,0.51241,0.993534,,722.434532,0.539899,724.545967,,/home/cc/netprompt-milestone-II/results/multihop_congestion_ReliableRelaySFC.txt
proposed_netprompt_ddil.txt,Proposed KG-Driven NetPrompt,ddil,ReliableRelaySFC,BackupPath,s3,Yes,Yes,backup_path_reliable_relay,5.0,80ms,5.0,,,100.0,0.997904,0.507091,0.997904,,694.820375,0.540772,696.933366,,/home/cc/netprompt-milestone-II/results/multihop_ddil_ReliableRelaySFC.txt
proposed_netprompt_low_latency.txt,Proposed KG-Driven NetPrompt,low_latency,LowLatencyVideoSFC,PrimaryPath,s2,Yes,Yes,primary_path_low_latency,80.0,5ms,0.0,29.872,,0.0,0.999194,0.509706,0.999194,,439.371767,0.536077,441.483563,,/home/cc/netprompt-milestone-II/results/multihop_low_latency_LowLatencyVideoSFC.txt
proposed_netprompt_relay_failure.txt,Proposed KG-Driven NetPrompt,relay_failure,ReliableRelaySFC,BackupPath,s3,Yes,Yes,backup_path_reliable_relay,30.0,35ms,4.0,,,100.0,0.993382,0.507773,0.993382,,784.914359,0.536438,787.027659,,/home/cc/netprompt-milestone-II/results/multihop_relay_failure_ReliableRelaySFC.txt
